1,google.nl
2,uu.nl
3,cwi.nl
4,doxygen.nl
5,xs4all.nl
6,uva.nl
7,rug.nl
8,tudelft.nl
9,blogspot.nl
10,nos.nl
11,utwente.nl
12,rijksoverheid.nl
13,nu.nl
14,tue.nl
15,vu.nl
16,wur.nl
17,telegraaf.nl
18,ad.nl
19,volkskrant.nl
20,nrc.nl
21,ru.nl
22,rijksmuseum.nl
23,marktplaats.nl
24,leidenuniv.nl
25,amazon.nl
26,dutchnews.nl
27,dutchtracking.nl
28,rivm.nl
29,vagina.nl
30,autoriteitpersoonsgegevens.nl
31,government.nl
32,transip.nl
33,eur.nl
34,jouwweb.nl
35,belastingdienst.nl
36,vangoghmuseum.nl
37,rtlnieuws.nl
38,home.nl
39,cbs.nl
40,trouw.nl
41,npostart.nl
42,amsterdam.nl
43,hostnet.nl
44,rabobank.nl
45,ns.nl
46,planet.nl
47,usenet.nl
48,vpro.nl
49,universiteitleiden.nl
50,dumpert.nl
51,ziggo.nl
52,startpagina.nl
53,simpsite.nl
54,demon.nl
55,overheid.nl
56,parool.nl
57,tno.nl
58,knaw.nl
59,maastrichtuniversity.nl
60,chello.nl
61,mijndomein.nl
62,bnnvara.nl
63,anwb.nl
64,kvk.nl
65,funda.nl
66,consumentenbond.nl
67,postnl.nl
68,avrotros.nl
69,rvo.nl
70,ing.nl
71,budgetphone.nl
72,ah.nl
73,robbast.nl
74,coolblue.nl
75,rechtspraak.nl
76,digid.nl
77,schiphol.nl
78,nltimes.nl
79,wanadoo.nl
80,fd.nl
81,abnamro.nl
82,buienradar.nl
83,politie.nl
84,rnw.nl
85,rtl.nl
86,lycos.nl
87,knmi.nl
88,9292.nl
89,elsevier.nl
90,messageboard.nl
91,elitek.nl
92,minimafia.nl
93,npo.nl
94,degiro.nl
95,hyves.nl
96,hema.nl
97,gelderlander.nl
98,omroep.nl
99,dds.nl
100,eventbrite.nl
101,businessinsider.nl
102,bnr.nl
103,audiobookbay.nl
104,hccnet.nl
105,web-log.nl
